source_id,variant_text,transform_type
tweet_1085,Update: missing person alert: 74-year-old grandmother last seen wearing blue raincoat during evacuation from bayfront avenue. contact dispatch with info. Please verify.,1
tweet_1088,community liaison: 85 foreign tourists srtanded at harbor hotel without transport. shuttle buses dispatched to transport to airport evacuation hub.,3
tweet_1090,"over 1,200 coastal evacuees currently reigstered at memorial convention center sehlter. hot meals, cots, and dry hygiene kits being distributed.",3
tweet_1091,Update: displaced families arriving at westside church gymnasium shelter. cots are full; second intake shelter opening at east high school tonight. Please verify.,1
tweet_1092,missing person alert 74yearold grandmother last seen wearing blue raincoat during evacuation from bayfront avenue contact dispatch with info,0
tweet_1093,petfriendly temporary shelter opened at fairgrounds pavilion 3 for residents evacuating with dogs and cats food and water bowls available,0
tweet_1094,red cross family reunification desk set up at central arena please check in online or visit desk if looking for separated relatives familyfind,0
tweet_1095,community liaison 85 foreign tourists stranded at harbor hotel without transport shuttle buses dispatched to transport to airport evacuation hub,0
tweet_1097,"over 1,200 coastal evacuees currently reigstered at memorial convention center sehlter. hot meals, cots, and dry hygiene kits being distributed.",3
tweet_1098,displaced families arriving at westside hcurch gymnasium shelter. cots are full; second intake shelter opening at east hgih school tonight.,3
tweet_1100,petfriendly temporary shelter opened at fairgrounds pavilion 3 for residents evacuating with dogs and cats food and water bowls available,0
tweet_1102,volunteer callout: 50 volunteers needed tomorrow morning at 8:30 am to assist with sorting and palletizing,2
tweet_1103,Update: massive thank you to local bakeries and restaurants providing 500 hot meals to emergency utility crews and rescue workers today! communityheroes Please verify.,1
tweet_1104,pet rescue network seeking foster homes for 30 displaced shelter dogs and cats while families transition,2
tweet_1105,donation center announcement we currently have enough clothing high demand now is baby formula portable power banks and heavyduty work gloves,0
tweet_1107,Update: monetary donation link established via verified disaster foundation. 100 of proceeds go to emergency food hampers and shelter vouchers. Please verify.,1
tweet_1109,Update: volunteer callout: 50 volunteers needed tomorrow morning at 8:30 am to assist with sorting and palletizing emergency relief packages. Please verify.,1
tweet_1110,massive thank you to local bakeries and restaurants providing 500 hot meals to emergency utility crews and rescue workers today communityheroes,0
tweet_1113,"weekend volunteer cleanup brigade organiizng sunday 9 am at riverfront park. brign rubber boots, shovels, and work gloves. cleanupsquad",3
tweet_1114,monetary donation link established via vreified disaster foundation. 100 of proceeds go to emergency food hampers and shleter vouchers.,3
tweet_1115,"relief donation warehouse open at gate 4, port logistics park. accepting canned ofod, bottled water, baby diapers, and uonpened hygiene supplies.",3
tweet_1116,volunteer callout 50 volunteers needed tomorrow morning at 830 am to assist with sorting and palletizing emergency relief packages,0
tweet_1117,massive thank you to local bakeries and restaurants providing 500 hot meals to emergency utility crews and,2
tweet_1118,pet rescue network seeking foster homes for 30 displaced shelter dogs and cats while families transition to temporary housing,0
tweet_1119,donation center announcement we currently have enough clothing high demand now is baby formula portable power banks and heavyduty work gloves,0
tweet_1121,monetary donation link established via verified disaster foundation. 100 of proceeds go to emergency food hampers,2
tweet_1122,"relief donation warehouse open at gate 4, port logistics park. accepting canned food, bottled water, baby diapers,",2
tweet_1123,volunteer callout 50 volunteers needed tomorrow morning at 830 am to assist with sorting and palletizing emergency relief packages,0
tweet_1125,pet rescue network seeking foster homes ofr 30 displaced shelter dogs and cats wihle families transition to temporary hosuing.,3
tweet_1051,Update: major structural damage: pine valley bridge on highway 101 cracked and buckling from fire heat. highway closed in both directions until further notice. Please verify.,1
tweet_1052,"wildfire knocked down 4 main transmission towers. over 35,000 households without electricity in western valley. power grdi repair crews blocked by fire.",3
tweet_1053,water treatment plant near pine valley reservoir sustained pump electrical failure tap water contamination alert issued boil water notice in effect,0
tweet_1054,cellular towers down across all of westview county emergency responders relying exclusively on ham radio relay frequencies 146520 mhz,0
tweet_1055,Update: natural gas main rupture reported near 8th street industrial park after falling burning pine trees. fire crews requesting emergency gas valve shutdown. Please verify.,1
tweet_1056,Update: railway tracks severely warped by intense ground heat near mile marker 82. freight line traffic suspended between north and south terminals. Please verify.,1
tweet_1057,severe smoke and asphalt melting reported on ridge road road surface impassable for light emergency vehicles heavy bulldozers en route,0
tweet_1063,natural gas main rupture reported near 8ht street industrial park after falling ubrning pine trees. fire crews requesting emergency gas valve shutdown.,3
tweet_1064,railway tracks severely warped by intense ground heat near mile marker 82. freigth line traffic suspended between north nad south terminals.,3
tweet_1065,severe smoke and asphalt melting reported on ridge road. road surface impassable for light emergency vehicles. heavy,2
tweet_1066,"structural safety inspection: north elemnetary school building is not collapsed, but structural roof inspection is ongoign. school remains closed.",3
tweet_1067,major structural damage pine valley bridge on highway 101 cracked and buckling from fire heat highway closed in both directions until further notice,0
tweet_1068,"wildfire knocked down 4 main transmission towers. over 35,000 households without electricity in western valley. power grid repair",2
tweet_1069,water treatment plant near pine valley reservoir sustained pump electrical failure tap water contamination alert issued boil water notice in effect,0
tweet_1070,cellular towers down across all of westveiw county. emergency responders relying exclusively on ham radio relay frequenceis 146.520 mhz.,3
tweet_1071,Update: natural gas main rupture reported near 8th street industrial park after falling burning pine trees. fire crews requesting emergency gas valve shutdown. Please verify.,1
tweet_1072,Update: railway tracks severely warped by intense ground heat near mile marker 82. freight line traffic suspended between north and south terminals. Please verify.,1
tweet_1073,Update: severe smoke and asphalt melting reported on ridge road. road surface impassable for light emergency vehicles. heavy bulldozers en route. Please verify.,1
tweet_1074,"structural safety inspection: north elementary school building is not collapsed, but structural roof inspection is ongoing.",2
tweet_1075,major structural damage: pine valley brigde on highway 101 cracked and buckling rfom fire heat. highway closed in both driections until further notice.,3
tweet_1001,critical: flash flood water rising rapidly on river road! 5 people including children trapped on roof of vehicle at,2
tweet_1002,emergency: family of 4 stranded inside house near river road crossing. water is at second floor window level!,2
tweet_1003,flood water sweeping through elm street neighborhood two elderly residents clinging to tree near bridge water rescue units needed urgently,0
tweet_1005,water levels crossing 8 feet near river road church. 3 people trapped in minivan,2
tweet_1008,Update: coast guard helicopter spotted over river road basin winching trapped flood victims from rooftop. strong currents reported. Please verify.,1
tweet_1009,critical: flash flood water rising rapidyl on river road! 5 people including chidlren trapped on roof of vehicle at mile 14! rivervaleflood rescueneeded,3
tweet_1011,flood water sweeping through elm street enighborhood. two elderly residents clinigng to tree near bridge! water rescue uints needed urgently!,3
tweet_1012,Update: urgent evacuation notice for river road basin. search and rescue zodiac boats deployed to sector 4. do not attempt to drive through flood water! Please verify.,1
tweet_1013,Update: water levels crossing 8 feet near river road church. 3 people trapped in minivan near bridge! floodsos Please verify.,1
tweet_1014,update: first responders on scene with swift water rescue team at river road bridge. evacuations in progress,2
tweet_1015,water rising over 2 inches per minute on river road 6 citizens unable to exit apartment ground floor urgent rescue required,0
tweet_1016,Update: coast guard helicopter spotted over river road basin winching trapped flood victims from rooftop. strong currents reported. Please verify.,1
tweet_1021,water levels crossing 8 feet near river orad church. 3 people trapped in minivan near bridge! floodsos,3
tweet_1022,Update: update: first responders on scene with swift water rescue team at river road bridge. evacuations in progress for 12 stranded residents. Please verify.,1
tweet_1023,water rising over 2 inches per minute on river road. 6 citizens unable to exit aaprtment ground floor! urgent rescue reqiured!,3
